"segment_name","file_location","lead_count","verified_emails","campaign_status","assigned_domain","assigned_campaign"
"vehicle_master_segmentation_FINAL","D:\P2GC_Intelligence\CONSOLIDATION OF LEADS\vehicle_master_segmentation_FINAL.py","","","Unknown","",""
"P2GC_NON_HOLDERS_SEGMENTED","D:\P2GC_Intelligence\CONSOLIDATION OF LEADS\MASTER\P2GC_NON_HOLDERS_SEGMENTED.csv","","","Unknown","",""
"SBS_SEGMENTED_TARGETS_TECH","D:\P2GC_Intelligence\CONSOLIDATION OF LEADS\MASTER\SBS_SEGMENTED_TARGETS_TECH.csv","3741","","Unknown","",""
"SBS_SEGMENTED_TARGETS_CONSULTING","D:\P2GC_Intelligence\CONSOLIDATION OF LEADS\MASTER\SBS_SEGMENTED_TARGETS_CONSULTING.csv","758","","Unknown","",""
"SBS_SEGMENTED_TARGETS_ENGINEERING","D:\P2GC_Intelligence\CONSOLIDATION OF LEADS\MASTER\SBS_SEGMENTED_TARGETS_ENGINEERING.csv","80","","Unknown","",""
"SBS_SEGMENTED_TARGETS_OTHER","D:\P2GC_Intelligence\CONSOLIDATION OF LEADS\MASTER\SBS_SEGMENTED_TARGETS_OTHER.csv","300","","Unknown","",""
"SBS_SEGMENTED_TARGETS","D:\P2GC_Intelligence\CONSOLIDATION OF LEADS\MASTER\SBS_SEGMENTED_TARGETS.csv","4879","","Unknown","",""
"HAS_EMAIL_READY_FOR_OUTREACH","D:\P2GC_Intelligence\CONSOLIDATION OF LEADS\EVENTS\HAS_EMAIL_READY_FOR_OUTREACH.csv","26411","","Unknown","",""
"P2GC_SEGMENT_MANUFACTURING_EQUIPMENT","D:\P2GC_Intelligence\_ARCHIVE_OLD\SAM_Registry\SAM_PUBLIC_MONTHLY_V2_20260301\OUT_FILTERED\P2GC_SEGMENT_MANUFACTURING_EQUIPMENT.csv","45396","","Unknown","",""
"P2GC_SEGMENT_OTHER_ELIGIBLE","D:\P2GC_Intelligence\_ARCHIVE_OLD\SAM_Registry\SAM_PUBLIC_MONTHLY_V2_20260301\OUT_FILTERED\P2GC_SEGMENT_OTHER_ELIGIBLE.csv","46215","","Unknown","",""
"P2GC_SEGMENT_IT_SERVICES","D:\P2GC_Intelligence\_ARCHIVE_OLD\SAM_Registry\SAM_PUBLIC_MONTHLY_V2_20260301\OUT_FILTERED\P2GC_SEGMENT_IT_SERVICES.csv","39616","","Unknown","",""
"P2GC_SEGMENT_ENGINEERING","D:\P2GC_Intelligence\_ARCHIVE_OLD\SAM_Registry\SAM_PUBLIC_MONTHLY_V2_20260301\OUT_FILTERED\P2GC_SEGMENT_ENGINEERING.csv","25471","","Unknown","",""
"P2GC_SEGMENT_TRAINING_EDUCATION_SERVICES","D:\P2GC_Intelligence\_ARCHIVE_OLD\SAM_Registry\SAM_PUBLIC_MONTHLY_V2_20260301\OUT_FILTERED\P2GC_SEGMENT_TRAINING_EDUCATION_SERVICES.csv","20466","","Unknown","",""
"P2GC_SEGMENT_SPECIALTY_TRADE","D:\P2GC_Intelligence\_ARCHIVE_OLD\SAM_Registry\SAM_PUBLIC_MONTHLY_V2_20260301\OUT_FILTERED\P2GC_SEGMENT_SPECIALTY_TRADE.csv","39445","","Unknown","",""
"P2GC_SEGMENT_REAL_ESTATE_RENTAL","D:\P2GC_Intelligence\_ARCHIVE_OLD\SAM_Registry\SAM_PUBLIC_MONTHLY_V2_20260301\OUT_FILTERED\P2GC_SEGMENT_REAL_ESTATE_RENTAL.csv","17809","","Unknown","",""
"P2GC_SEGMENT_CONSULTING","D:\P2GC_Intelligence\_ARCHIVE_OLD\SAM_Registry\SAM_PUBLIC_MONTHLY_V2_20260301\OUT_FILTERED\P2GC_SEGMENT_CONSULTING.csv","55725","","Unknown","",""
"P2GC_SEGMENT_BUSINESS_SUPPORT","D:\P2GC_Intelligence\_ARCHIVE_OLD\SAM_Registry\SAM_PUBLIC_MONTHLY_V2_20260301\OUT_FILTERED\P2GC_SEGMENT_BUSINESS_SUPPORT.csv","38490","","Unknown","",""
"P2GC_SEGMENT_TRANSPORT_LOGISTICS","D:\P2GC_Intelligence\_ARCHIVE_OLD\SAM_Registry\SAM_PUBLIC_MONTHLY_V2_20260301\OUT_FILTERED\P2GC_SEGMENT_TRANSPORT_LOGISTICS.csv","18618","","Unknown","",""
"P2GC_SEGMENT_LAB_MEDICAL_SERVICES","D:\P2GC_Intelligence\_ARCHIVE_OLD\SAM_Registry\SAM_PUBLIC_MONTHLY_V2_20260301\OUT_FILTERED\P2GC_SEGMENT_LAB_MEDICAL_SERVICES.csv","1414","","Unknown","",""
"P2GC_SEGMENT_REPAIR_PERSONAL_SERVICES","D:\P2GC_Intelligence\_ARCHIVE_OLD\SAM_Registry\SAM_PUBLIC_MONTHLY_V2_20260301\OUT_FILTERED\P2GC_SEGMENT_REPAIR_PERSONAL_SERVICES.csv","13208","","Unknown","",""
"P2GC_SEGMENT_BUSINESS_SUPPORT","D:\P2GC_Intelligence\_ARCHIVE_OLD\_archive_old_versions\holding\P2GC_SEGMENT_BUSINESS_SUPPORT.csv","38490","","Unknown","",""
"P2GC_SEGMENT_CONSULTING","D:\P2GC_Intelligence\_ARCHIVE_OLD\_archive_old_versions\holding\P2GC_SEGMENT_CONSULTING.csv","55725","","Unknown","",""
"P2GC_SEGMENT_ENGINEERING","D:\P2GC_Intelligence\_ARCHIVE_OLD\_archive_old_versions\holding\P2GC_SEGMENT_ENGINEERING.csv","25471","","Unknown","",""
"P2GC_SEGMENT_IT_SERVICES","D:\P2GC_Intelligence\_ARCHIVE_OLD\_archive_old_versions\holding\P2GC_SEGMENT_IT_SERVICES.csv","39616","","Unknown","",""
"P2GC_SEGMENT_LAB_MEDICAL_SERVICES","D:\P2GC_Intelligence\_ARCHIVE_OLD\_archive_old_versions\holding\P2GC_SEGMENT_LAB_MEDICAL_SERVICES.csv","1414","","Unknown","",""
"P2GC_SEGMENT_MANUFACTURING_EQUIPMENT","D:\P2GC_Intelligence\_ARCHIVE_OLD\_archive_old_versions\holding\P2GC_SEGMENT_MANUFACTURING_EQUIPMENT.csv","45396","","Unknown","",""
"P2GC_SEGMENT_OTHER_ELIGIBLE","D:\P2GC_Intelligence\_ARCHIVE_OLD\_archive_old_versions\holding\P2GC_SEGMENT_OTHER_ELIGIBLE.csv","46215","","Unknown","",""
"P2GC_SEGMENT_REAL_ESTATE_RENTAL","D:\P2GC_Intelligence\_ARCHIVE_OLD\_archive_old_versions\holding\P2GC_SEGMENT_REAL_ESTATE_RENTAL.csv","17809","","Unknown","",""
"P2GC_SEGMENT_REPAIR_PERSONAL_SERVICES","D:\P2GC_Intelligence\_ARCHIVE_OLD\_archive_old_versions\holding\P2GC_SEGMENT_REPAIR_PERSONAL_SERVICES.csv","13208","","Unknown","",""
"P2GC_SEGMENT_SPECIALTY_TRADE","D:\P2GC_Intelligence\_ARCHIVE_OLD\_archive_old_versions\holding\P2GC_SEGMENT_SPECIALTY_TRADE.csv","39445","","Unknown","",""
"P2GC_SEGMENT_TRAINING_EDUCATION_SERVICES","D:\P2GC_Intelligence\_ARCHIVE_OLD\_archive_old_versions\holding\P2GC_SEGMENT_TRAINING_EDUCATION_SERVICES.csv","20466","","Unknown","",""
"P2GC_SEGMENT_TRANSPORT_LOGISTICS","D:\P2GC_Intelligence\_ARCHIVE_OLD\_archive_old_versions\holding\P2GC_SEGMENT_TRANSPORT_LOGISTICS.csv","18618","","Unknown","",""
"P2GC_SEGMENTED_LEADS","D:\P2GC_Intelligence\_ARCHIVE_OLD\CONSOLIDATION OF LEADS\P2GC_SEGMENTED_LEADS.csv","361873","","Unknown","",""
"P2GC_FINAL_SEGMENTED","D:\P2GC_Intelligence\_ARCHIVE_OLD\CONSOLIDATION OF LEADS\P2GC_FINAL_SEGMENTED.csv","361873","","Unknown","",""
"P2GC_EVAN_SEGMENTED_MASTER_V2","D:\P2GC_Intelligence\_ARCHIVE_OLD\CONSOLIDATION OF LEADS\P2GC_EVAN_SEGMENTED_MASTER_V2.csv","360374","","Unknown","",""
"P2GC_SEGMENT_TRANSPORT_LOGISTICS","D:\P2GC_Intelligence\_ARCHIVE_OLD\CONSOLIDATION OF LEADS\P2GC_SEGMENT_TRANSPORT_LOGISTICS.csv","18618","","Unknown","",""
"P2GC_SEGMENT_BUSINESS_SUPPORT","D:\P2GC_Intelligence\_ARCHIVE_OLD\CONSOLIDATION OF LEADS\P2GC_SEGMENT_BUSINESS_SUPPORT.csv","38490","","Unknown","",""
"P2GC_SEGMENT_CONSULTING","D:\P2GC_Intelligence\_ARCHIVE_OLD\CONSOLIDATION OF LEADS\P2GC_SEGMENT_CONSULTING.csv","55725","","Unknown","",""
"P2GC_SEGMENT_ENGINEERING","D:\P2GC_Intelligence\_ARCHIVE_OLD\CONSOLIDATION OF LEADS\P2GC_SEGMENT_ENGINEERING.csv","25471","","Unknown","",""
"P2GC_SEGMENT_IT_SERVICES","D:\P2GC_Intelligence\_ARCHIVE_OLD\CONSOLIDATION OF LEADS\P2GC_SEGMENT_IT_SERVICES.csv","39616","","Unknown","",""
"P2GC_SEGMENT_LAB_MEDICAL_SERVICES","D:\P2GC_Intelligence\_ARCHIVE_OLD\CONSOLIDATION OF LEADS\P2GC_SEGMENT_LAB_MEDICAL_SERVICES.csv","1414","","Unknown","",""
"P2GC_SEGMENT_MANUFACTURING_EQUIPMENT","D:\P2GC_Intelligence\_ARCHIVE_OLD\CONSOLIDATION OF LEADS\P2GC_SEGMENT_MANUFACTURING_EQUIPMENT.csv","45396","","Unknown","",""
"P2GC_SEGMENT_OTHER_ELIGIBLE","D:\P2GC_Intelligence\_ARCHIVE_OLD\CONSOLIDATION OF LEADS\P2GC_SEGMENT_OTHER_ELIGIBLE.csv","46215","","Unknown","",""
"P2GC_SEGMENT_REAL_ESTATE_RENTAL","D:\P2GC_Intelligence\_ARCHIVE_OLD\CONSOLIDATION OF LEADS\P2GC_SEGMENT_REAL_ESTATE_RENTAL.csv","17809","","Unknown","",""
"P2GC_SEGMENT_REPAIR_PERSONAL_SERVICES","D:\P2GC_Intelligence\_ARCHIVE_OLD\CONSOLIDATION OF LEADS\P2GC_SEGMENT_REPAIR_PERSONAL_SERVICES.csv","13208","","Unknown","",""
"P2GC_SEGMENT_SPECIALTY_TRADE","D:\P2GC_Intelligence\_ARCHIVE_OLD\CONSOLIDATION OF LEADS\P2GC_SEGMENT_SPECIALTY_TRADE.csv","39445","","Unknown","",""
"P2GC_SEGMENT_TRAINING_EDUCATION_SERVICES","D:\P2GC_Intelligence\_ARCHIVE_OLD\CONSOLIDATION OF LEADS\P2GC_SEGMENT_TRAINING_EDUCATION_SERVICES.csv","20466","","Unknown","",""
"P2GC_MASTER_WITH_SEGMENTS","D:\P2GC_Intelligence\_ARCHIVE_OLD\CONSOLIDATION OF LEADS\P2GC_MASTER_WITH_SEGMENTS.csv","361873","","Unknown","",""
"P2GC_READY_TO_SEND","D:\P2GC_Intelligence\_ARCHIVE_OLD\CONSOLIDATION OF LEADS\MASTER\P2GC_READY_TO_SEND.csv","6395","","Unknown","",""
"P2GC_READY_TO_SEND","D:\P2GC_Intelligence\_ARCHIVE_OLD\From B12 042926\P2GC_READY_TO_SEND.csv","14303","","Unknown","",""
"P2GC_READY_TO_SEND_V3","D:\P2GC_Intelligence\_ARCHIVE_OLD\From B12 042926\P2GC_READY_TO_SEND_V3.csv","14303","","Unknown","",""
"P2GC_READY_TO_SEND_V4","D:\P2GC_Intelligence\_ARCHIVE_OLD\From B12 042926\P2GC_READY_TO_SEND_V4.csv","14303","","Unknown","",""
"build_true_segments_v3","D:\P2GC_Intelligence\_ARCHIVE_OLD\From B12 042926\build_true_segments_v3.py","","","Unknown","",""
"build_true_segments_v4","D:\P2GC_Intelligence\_ARCHIVE_OLD\From B12 042926\build_true_segments_v4.py","","","Unknown","",""
"P2GC_FINAL_SEGMENTED","D:\P2GC_Intelligence\ORION_CORE\P2GC_FINAL_SEGMENTED.csv","361873","","Unknown","",""
"build_segmented_real_final","D:\P2GC_Intelligence\ORION_CORE\build_segmented_real_final.py","","","Unknown","",""
"P2GC_SEGMENTED_LEADS","D:\P2GC_Intelligence\ORION_CORE\P2GC_SEGMENTED_LEADS.csv","361873","","Unknown","",""
"b12_non_segmented_extractor","D:\P2GC_Intelligence\ORION_CORE\From B12 042926\b12_non_segmented_extractor.py","","","Unknown","",""
"NON_SEGMENTED_SAM_LEADS","D:\P2GC_Intelligence\ORION_CORE\From B12 042926\NON_SEGMENTED_SAM_LEADS.csv","9191","","Unknown","",""
"READY_TO_SEND","D:\P2GC_Intelligence\ORION_CORE\From B12 042926\READY_TO_SEND.csv","9190","","Unknown","",""
"MASTER_READY_TO_SEND","D:\P2GC_Intelligence\ORION_CORE\From B12 042926\MASTER_READY_TO_SEND.csv","25135","","Unknown","",""
"justin_v4_master_with_segments","D:\P2GC_Intelligence\ORION_CORE\From B12 042926\justin_v4_master_with_segments.py","","","Unknown","",""
"MASTER_READY_WITH_SEGMENTS","D:\P2GC_Intelligence\ORION_CORE\From B12 042926\MASTER_READY_WITH_SEGMENTS.csv","25135","","Unknown","",""
